S000000636	MATALPHA1	YCR040W
S000000637		YCR041W
S000000638	TAF2	YCR042C
S000000639		YCR043C
S000000640	PER1	YCR044C
S000000641	RRT12	YCR045C
S000000642	IMG1	YCR046C
S000000643	BUD23	YCR047C
S000000644	ARE1	YCR048W
S000000645		YCR049C
S000000646		YCR050C
S000000647		YCR051W
S000000648	RSC6	YCR052W
S000000649	THR4	YCR053W
S000000650	CTR86	YCR054C
S000000653	PWP2	YCR057C
S000000655	YIH1	YCR059C
S000000656	TAH1	YCR060W
S000000657		YCR061W
S000000658		YCR062W
S000000659	BUD31	YCR063W
S000000660		YCR064C
S000000661	HCM1	YCR065W
S000000662	RAD18	YCR066W
S000000663	SED4	YCR067C
S000000664	ATG15	YCR068W
S000000665	CPR4	YCR069W
S000000666		YCR070W
S000000667	IMG2	YCR071C
S000000668	RSA4	YCR072C
S000000669	SSK22	YCR073C
S000000671	ERS1	YCR075C
S000000672	FUB1	YCR076C
S000000673	PAT1	YCR077C
S000000677	SRB8	YCR081W
S000000678	AHC2	YCR082W
S000000679	TRX3	YCR083W
S000000680	TUP1	YCR084C
S000000681		YCR085W
S000000682	CSM1	YCR086W
S000000683		YCR087W
S000000684	ABP1	YCR088W
S000000685	FIG2	YCR089W
S000000686		YCR090C
S000000687	KIN82	YCR091W
S000000688	MSH3	YCR092C
S000000689	CDC39	YCR093W
S000000690	CDC50	YCR094W
S000000691	OCA4	YCR095C
S000000692	HMRA2	YCR096C
S000000694	HMRA1	YCR097W
S000000695	GIT1	YCR098C
S000000696		YCR099C
S000000697		YCR100C
S000000698		YCR101C
S000000699		YCR102C
S000000700		YCR103C
S000000701	PAU3	YCR104W
S000000702	ADH7	YCR105W
S000000703	RDS1	YCR106W
S000000704	AAD3	YCR107W
S000000718	SOL2	YCR073W-A
S000000727	IRC22	YEL001C
S000000728	WBP1	YEL002C
S000000729	GIM4	YEL003W
S000000730	YEA4	YEL004W
S000000731	VAB2	YEL005C
S000000732	YEA6	YEL006W
S000000733	MIT1	YEL007W
S000000734		YEL008W
S000000735	GCN4	YEL009C
S000000736		YEL010W
S000000737	GLC3	YEL011W
S000000738	UBC8	YEL012W
S000000739	VAC8	YEL013W
S000000740		YEL014C
S000000741	EDC3	YEL015W
S000000742	NPP2	YEL016C
S000000743	GTT3	YEL017W
S000000744	EAF5	YEL018W
S000000745	MMS21	YEL019C
S000000746		YEL020C
S000000747	URA3	YEL021W
S000000748	GEA2	YEL022W
S000000749		YEL023C
S000000750	RIP1	YEL024W
S000000751		YEL025C
S000000752	SNU13	YEL026W
S000000753	VMA3	YEL027W
S000000754		YEL028W
S000000755	BUD16	YEL029C
S000000756	ECM10	YEL030W
S000000757	SPF1	YEL031W
S000000758	MCM3	YEL032W
S000000759	MTC7	YEL033W
S000000760	HYP2	YEL034W
S000000761	UTR5	YEL035C
S000000762	ANP1	YEL036C
S000000763	RAD23	YEL037C
S000000764	UTR4	YEL038W
S000000765	CYC7	YEL039C
S000000766	UTR2	YEL040W
S000000767	YEF1	YEL041W
S000000768	GDA1	YEL042W
S000000769		YEL043W
S000000770	IES6	YEL044W
S000000771		YEL045C
S000000772	GLY1	YEL046C
S000000773	FRD1	YEL047C
S000000774	TCA17	YEL048C
S000000775	PAU2	YEL049W
S000000776	RML2	YEL050C
S000000777	VMA8	YEL051W
S000000778	AFG1	YEL052W
S000000779	MAK10	YEL053C
S000000780	RPL12A	YEL054C
S000000781	POL5	YEL055C
S000000782	HAT2	YEL056W
S000000783		YEL057C
S000000784	PCM1	YEL058W
S000000785	HHY1	YEL059W
S000000786	PRB1	YEL060C
S000000787	CIN8	YEL061C
S000000788	NPR2	YEL062W
S000000789	CAN1	YEL063C
S000000790	AVT2	YEL064C
S000000791	SIT1	YEL065W
S000000792	HPA3	YEL066W
S000000793		YEL067C
S000000794		YEL068C
S000000795	HXT13	YEL069C
S000000796	DSF1	YEL070W
S000000797	DLD3	YEL071W
S000000798	RMD6	YEL072W
S000000799		YEL073C
S000000800		YEL074W
S000000801		YEL075C
S000000802		YEL076C
S000000803	MNN1	YER001W
S000000804	NOP16	YER002W
S000000805	PMI40	YER003C
S000000806	FMP52	YER004W
S000000807	YND1	YER005W
S000000808	NUG1	YER006W
S000000809	PAC2	YER007W
S000000810	SEC3	YER008C
S000000811	NTF2	YER009W
S000000812		YER010C
S000000813	TIR1	YER011W
S000000814	PRE1	YER012W
S000000815	PRP22	YER013W
S000000816	HEM14	YER014W
S000000817	FAA2	YER015W
S000000818	BIM1	YER016W
S000000819	AFG3	YER017C
S000000820	SPC25	YER018C
S000000821	ISC1	YER019W
S000000822	GPA2	YER020W
S000000823	RPN3	YER021W
S000000824	SRB4	YER022W
S000000825	PRO3	YER023W
S000000826	YAT2	YER024W
S000000827	GCD11	YER025W
S000000828	CHO1	YER026C
S000000829	GAL83	YER027C
S000000830	MIG3	YER028C
S000000831	SMB1	YER029C
S000000832	CHZ1	YER030W
S000000833	YPT31	YER031C
S000000834	FIR1	YER032W
S000000835	ZRG8	YER033C
S000000836		YER034W
S000000837	EDC2	YER035W
S000000838	ARB1	YER036C
S000000839	PHM8	YER037W
S000000840	KRE29	YER038C
S000000841	HVG1	YER039C
S000000842	GLN3	YER040W
S000000843	YEN1	YER041W
S000000844	MXR1	YER042W
S000000845	SAH1	YER043C
S000000846	ERG28	YER044C
S000000847	ACA1	YER045C
S000000848	SPO73	YER046W
S000000849	SAP1	YER047C
S000000850	CAJ1	YER048C
S000000851	TPA1	YER049W
S000000852	RSM18	YER050C
S000000853	JHD1	YER051W
S000000854	HOM3	YER052C
S000000855	PIC2	YER053C
S000000856	GIP2	YER054C
S000000857	HIS1	YER055C
S000000858	FCY2	YER056C
S000000859	HMF1	YER057C
S000000860	PET117	YER058W
S000000861	PCL6	YER059W
S000000862	FCY21	YER060W
S000000863	CEM1	YER061C
S000000864	GPP2	YER062C
S000000865	THO1	YER063W
S000000866	VHR2	YER064C
S000000867	ICL1	YER065C
S000000868	RRT13	YER066W
S000000869	RGI1	YER067W
S000000870	MOT2	YER068W
S000000871	ARG5,6	YER069W
S000000872	RNR1	YER070W
S000000873	TDA2	YER071C
S000000874	VTC1	YER072W
S000000875	ALD5	YER073W
S000000876	RPS24A	YER074W
S000000877	PTP3	YER075C
S000000878		YER076C
S000000879		YER077C
S000000880	ICP55	YER078C
S000000881		YER079W
S000000882	AIM9	YER080W
S000000883	SER3	YER081W
S000000884	UTP7	YER082C
S000000885	GET2	YER083C
S000000886		YER084W
S000000887		YER085C
S000000888	ILV1	YER086W
S000000889	AIM10	YER087W
S000000890	DOT6	YER088C
S000000891	PTC2	YER089C
S000000892	TRP2	YER090W
S000000893	MET6	YER091C
S000000894	IES5	YER092W
S000000895	TSC11	YER093C
S000000896	PUP3	YER094C
S000000897	RAD51	YER095W
S000000898	SHC1	YER096W
S000000899		YER097W
S000000900	UBP9	YER098W
S000000901	PRS2	YER099C
S000000902	UBC6	YER100W
S000000903	AST2	YER101C
S000000904	RPS8B	YER102W
S000000905	SSA4	YER103W
S000000906	RTT105	YER104W
S000000907	NUP157	YER105C
S000000908	MAM1	YER106W
S000000909	GLE2	YER107C
S000000911	FLO8	YER109C
S000000912	KAP123	YER110C
S000000913	SWI4	YER111C
S000000914	LSM4	YER112W
S000000915	TMN3	YER113C
S000000916	BOI2	YER114C
S000000917	SPR6	YER115C
